"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-02","0.11","78","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-03","0.00","73","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-04","0.00","77","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-05","0.00","80","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-06","0.23","69","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-07","0.00","64","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-08","0.00","69","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-09","0.00","77","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-10","0.25","78","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-11","0.00","72","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-12","0.00","71","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-13","0.01","73","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-14","0.57","75","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-15","0.00","77","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-16","0.00","81","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-17","0.00","82","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-18","0.00","70","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-19","0.00","78","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-20","0.00","82","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-21","0.00","83","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-22","0.00","85","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-23","0.00","83","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-24","0.00","84","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-25","0.00","83","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-26","2.56","81","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-27","0.62","82","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-28","0.00","81","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-29","0.00","85","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-04-30","0.00","86","73"
