Year,WEEK,Week Ending Date,REGION,State,City,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
1963,26,06/29/1963,7,TX,Houston,8,211,16,11,23,72,89
1963,27,07/06/1963,7,TX,Houston,0,119,9,7,13,37,53
1963,28,07/13/1963,7,TX,Houston,5,182,17,9,19,58,79
1963,29,07/20/1963,7,TX,Houston,6,203,25,9,22,54,93
1963,30,07/27/1963,7,TX,Houston,3,165,23,4,15,41,82
1963,31,08/03/1963,7,TX,Houston,1,172,10,15,14,61,72
1963,32,08/10/1963,7,TX,Houston,6,191,20,7,24,67,73
1963,33,08/17/1963,7,TX,Houston,5,173,12,10,16,63,72
1963,34,08/24/1963,7,TX,Houston,6,155,17,8,10,53,67
1963,35,08/31/1963,7,TX,Houston,2,226,24,6,35,72,89
1963,36,09/07/1963,7,TX,Houston,3,114,8,6,14,34,52
1963,37,09/14/1963,7,TX,Houston,5,160,21,5,18,40,76
1963,38,09/21/1963,7,TX,Houston,3,171,11,9,19,48,84
1963,39,09/28/1963,7,TX,Houston,1,191,18,13,17,51,92
1963,40,10/05/1963,7,TX,Houston,2,162,17,6,14,44,81
1963,41,10/12/1963,7,TX,Houston,4,154,23,8,10,51,62
1963,42,10/19/1963,7,TX,Houston,7,200,19,11,20,62,88
1963,43,10/26/1963,7,TX,Houston,4,163,14,14,15,56,64
1963,44,11/02/1963,7,TX,Houston,6,233,26,11,31,69,96
1963,45,11/09/1963,7,TX,Houston,1,140,12,4,12,47,65
1963,46,11/16/1963,7,TX,Houston,1,169,10,10,14,57,78
1963,47,11/23/1963,7,TX,Houston,2,174,3,6,21,73,71
1963,48,11/30/1963,7,TX,Houston,2,135,14,6,17,38,60
1963,49,12/07/1963,7,TX,Houston,1,172,11,4,19,59,79
1963,50,12/14/1963,7,TX,Houston,6,203,23,10,15,76,79
1963,51,12/21/1963,7,TX,Houston,2,192,11,3,16,73,89
1963,52,12/28/1963,7,TX,Houston,3,146,11,6,19,49,61
1964,1,01/04/1964,7,TX,Houston,7,212,11,11,16,61,113
1964,2,01/11/1964,7,TX,Houston,9,210,20,12,21,54,103
1964,3,01/18/1964,7,TX,Houston,11,271,24,16,32,82,117
1964,4,01/25/1964,7,TX,Houston,7,265,24,15,25,79,122
1964,5,02/01/1964,7,TX,Houston,4,217,16,6,22,79,94
1964,6,02/08/1964,7,TX,Houston,5,177,13,7,13,57,87
1964,7,02/15/1964,7,TX,Houston,8,185,5,16,13,72,79
1964,8,02/22/1964,7,TX,Houston,5,178,17,9,18,55,79
1964,9,02/29/1964,7,TX,Houston,7,251,21,13,21,83,113
1964,10,03/07/1964,7,TX,Houston,4,174,10,3,12,74,75
1964,11,03/14/1964,7,TX,Houston,6,184,8,12,13,57,94
1964,12,03/21/1964,7,TX,Houston,3,187,9,2,18,73,85
1964,13,03/28/1964,7,TX,Houston,6,183,14,11,14,57,87
1964,14,04/04/1964,7,TX,Houston,9,213,29,6,20,69,89
1964,15,04/11/1964,7,TX,Houston,3,181,15,15,27,61,63
1964,16,04/18/1964,7,TX,Houston,1,173,14,7,16,55,81
1964,17,04/25/1964,7,TX,Houston,11,165,21,6,19,53,66
1964,18,05/02/1964,7,TX,Houston,6,210,15,21,15,80,79
1964,19,05/09/1964,7,TX,Houston,3,191,11,6,20,61,93
