"","End_of_Week","Year","Week","Region","State","City","Pneumonia_and_Flu_Deaths","All_Deaths","Ages_Less_Than_1","Ages_1_to_24","Ages_25_to_44","Ages_45_to_64","Ages_over_65","PRCP","TMAX","TMIN"
"1",1962-01-06,1962,1,3,"IL","Chicago",51,859,62,29,62,266,440,1.16,34.8333333333333,23.3333333333333
"2",1962-01-13,1962,2,3,"IL","Chicago",40,839,48,22,59,225,485,0.19,14.4285714285714,-0.428571428571429
"3",1962-01-20,1962,3,3,"IL","Chicago",55,894,58,23,74,260,479,0.64,17.4285714285714,2.85714285714286
"4",1962-01-27,1962,4,3,"IL","Chicago",45,877,54,30,69,247,477,0.33,29,13.7142857142857
"5",1962-02-03,1962,5,3,"IL","Chicago",45,847,49,29,52,241,476,0.25,28.5714285714286,12.5714285714286
"6",1962-02-10,1962,6,3,"IL","Chicago",66,856,50,26,59,257,464,0.02,27.7142857142857,10.1428571428571
"7",1962-02-17,1962,7,3,"IL","Chicago",62,893,41,26,58,258,510,0.11,34.8571428571429,27.8571428571429
"8",1962-02-24,1962,8,3,"IL","Chicago",50,812,36,25,47,231,473,0.62,29.8571428571429,16.4285714285714
"9",1962-03-03,1962,9,3,"IL","Chicago",52,911,49,19,56,269,518,0.25,28.7142857142857,12.7142857142857
"10",1962-03-10,1962,10,3,"IL","Chicago",45,823,49,26,53,243,452,0.46,34,26.8571428571429
"11",1962-03-17,1962,11,3,"IL","Chicago",51,794,39,20,50,210,475,0.37,34.7142857142857,25.7142857142857
"12",1962-03-24,1962,12,3,"IL","Chicago",43,763,54,23,50,227,409,0.34,42,30.5714285714286
"13",1962-03-31,1962,13,3,"IL","Chicago",48,764,46,36,49,209,424,0.16,54.7142857142857,35
"14",1962-04-07,1962,14,3,"IL","Chicago",40,700,47,16,50,225,362,0.34,48.1428571428571,34.5714285714286
"15",1962-04-14,1962,15,3,"IL","Chicago",36,769,47,15,58,254,395,0.62,49.2857142857143,33.1428571428571
"16",1962-04-21,1962,16,3,"IL","Chicago",34,674,49,12,49,188,376,0.05,56,34.5714285714286
"17",1962-04-28,1962,17,3,"IL","Chicago",46,837,47,16,64,240,470,0.09,77,51
"18",1962-05-05,1962,18,3,"IL","Chicago",33,771,51,21,74,262,363,0.38,74.4285714285714,49.8571428571429
"19",1962-05-12,1962,19,3,"IL","Chicago",42,779,46,23,60,241,409,1.97,59.8571428571429,44
"20",1962-05-19,1962,20,3,"IL","Chicago",35,786,46,25,53,236,426,0,89.2857142857143,67.8571428571429
"21",1962-05-26,1962,21,3,"IL","Chicago",49,811,44,20,61,248,438,0.81,73.1428571428571,54.7142857142857
"22",1962-06-02,1962,22,3,"IL","Chicago",37,684,28,21,66,184,385,0.26,73.8571428571429,55.2857142857143
"23",1962-06-09,1962,23,3,"IL","Chicago",34,728,63,20,63,219,363,1.18,77.1428571428571,56.1428571428571
"24",1962-06-16,1962,24,3,"IL","Chicago",29,648,39,19,53,205,332,0.8,77.7142857142857,52.1428571428571
"25",1962-06-23,1962,25,3,"IL","Chicago",31,778,65,21,52,214,426,0.15,82.7142857142857,57.8571428571429
"26",1962-06-30,1962,26,3,"IL","Chicago",23,664,49,21,57,194,343,0,85.8571428571429,60
"27",1962-07-07,1962,27,3,"IL","Chicago",31,663,46,17,54,192,354,2.91,80.1428571428571,62.2857142857143
"28",1962-07-14,1962,28,3,"IL","Chicago",34,771,68,25,66,231,381,0.48,81.8571428571429,60.2857142857143
"29",1962-07-21,1962,29,3,"IL","Chicago",19,618,33,20,45,186,334,0.54,77.5714285714286,59.7142857142857
"30",1962-07-28,1962,30,3,"IL","Chicago",20,634,60,16,57,173,328,1.29,77.2857142857143,56.7142857142857
"31",1962-08-04,1962,31,3,"IL","Chicago",22,682,57,20,67,200,338,0.07,79.8571428571429,57.2857142857143
"32",1962-08-11,1962,32,3,"IL","Chicago",24,671,40,20,47,213,351,1.05,82.5714285714286,61.2857142857143
"33",1962-08-18,1962,33,3,"IL","Chicago",27,673,39,28,62,216,328,0,78.4285714285714,56.5714285714286
"34",1962-08-25,1962,34,3,"IL","Chicago",40,661,54,17,50,215,325,0.42,88.8571428571429,62.7142857142857
"35",1962-09-01,1962,35,3,"IL","Chicago",22,728,35,22,51,202,418,0.13,86.1428571428571,57.1428571428571
"36",1962-09-08,1962,36,3,"IL","Chicago",18,657,41,24,58,212,322,0.16,77.2857142857143,48.2857142857143
"37",1962-09-15,1962,37,3,"IL","Chicago",35,662,35,29,52,219,327,1.13,82.1428571428571,58.2857142857143
"38",1962-09-22,1962,38,3,"IL","Chicago",33,721,39,23,59,210,390,0.04,70.5714285714286,41.7142857142857
"39",1962-09-29,1962,39,3,"IL","Chicago",24,727,57,27,55,227,361,0.14,65.7142857142857,42.4285714285714
"40",1962-10-06,1962,40,3,"IL","Chicago",26,720,46,17,56,218,383,0.29,68.4285714285714,51.1428571428571
"41",1962-10-13,1962,41,3,"IL","Chicago",24,597,24,19,50,191,313,0.09,76.5714285714286,53.1428571428571
"42",1962-10-20,1962,42,3,"IL","Chicago",38,853,52,16,60,268,457,0.54,75,48.1428571428571
"43",1962-10-27,1962,43,3,"IL","Chicago",27,694,34,21,46,235,358,0,52.7142857142857,29
"44",1962-11-03,1962,44,3,"IL","Chicago",47,777,47,19,62,253,396,0.06,53.2857142857143,34.5714285714286
"45",1962-11-10,1962,45,3,"IL","Chicago",44,780,58,22,52,225,423,0.11,47.7142857142857,33
"46",1962-11-17,1962,46,3,"IL","Chicago",30,738,36,17,55,225,405,0.5,51.8571428571429,33.1428571428571
"47",1962-11-24,1962,47,3,"IL","Chicago",37,667,47,24,45,194,357,0.04,45.5714285714286,30
"48",1962-12-01,1962,48,3,"IL","Chicago",47,826,45,19,60,260,442,0,56.7142857142857,25.7142857142857
"49",1962-12-08,1962,49,3,"IL","Chicago",38,739,61,18,57,232,371,0.13,42.8571428571429,26.7142857142857
"50",1962-12-15,1962,50,3,"IL","Chicago",39,761,53,20,59,258,371,0.01,19.7142857142857,5
"51",1962-12-22,1962,51,3,"IL","Chicago",42,816,39,20,73,245,439,0.01,40.5714285714286,26.4285714285714
"52",1962-12-29,1962,52,3,"IL","Chicago",41,802,39,25,62,270,406,0.08,24.1428571428571,-1
"53",1963-01-05,1963,1,3,"IL","Chicago",44,824,61,34,58,254,417,0,27.4285714285714,20.1428571428571
"54",1963-01-12,1963,2,3,"IL","Chicago",48,807,74,31,57,238,407,0.12,34.4285714285714,23.4285714285714
"55",1963-01-19,1963,3,3,"IL","Chicago",42,787,30,26,47,246,438,0.31,13.7142857142857,-7.85714285714286
"56",1963-01-26,1963,4,3,"IL","Chicago",34,877,51,16,56,248,506,0.3,7.28571428571429,-10.8571428571429
"57",1963-02-02,1963,5,3,"IL","Chicago",48,823,57,14,52,241,459,0.13,17.7142857142857,-4
"58",1963-02-09,1963,6,3,"IL","Chicago",42,867,65,26,52,282,442,0.01,31.7142857142857,14
"59",1963-02-16,1963,7,3,"IL","Chicago",54,863,38,28,46,259,492,0.09,23.2857142857143,-0.428571428571429
"60",1963-02-23,1963,8,3,"IL","Chicago",53,857,40,20,55,251,491,0.11,28.2857142857143,10.1428571428571
"61",1963-03-02,1963,9,3,"IL","Chicago",92,1208,56,29,71,484,568,0.15,27.1428571428571,2.28571428571429
"62",1963-03-09,1963,10,3,"IL","Chicago",78,999,43,24,56,414,462,0.95,39.8571428571429,29.1428571428571
"63",1963-03-16,1963,11,3,"IL","Chicago",66,954,51,27,42,274,560,0.59,41.2857142857143,27.1428571428571
"64",1963-03-23,1963,12,3,"IL","Chicago",51,802,47,15,70,214,456,0.37,50.1428571428571,27.5714285714286
"65",1963-03-30,1963,13,3,"IL","Chicago",29,772,38,29,62,208,435,0.25,68.1428571428571,41
"66",1963-04-06,1963,14,3,"IL","Chicago",37,795,49,18,51,254,423,0.26,68.1428571428571,42.2857142857143
"67",1963-04-13,1963,15,3,"IL","Chicago",23,621,30,19,58,180,334,0.35,52.7142857142857,31.2857142857143
"68",1963-04-20,1963,16,3,"IL","Chicago",44,880,42,24,61,273,480,1.56,68.7142857142857,42.8571428571429
"69",1963-04-27,1963,17,3,"IL","Chicago",37,691,30,20,44,204,393,0.47,58.4285714285714,39.2857142857143
"70",1963-05-04,1963,18,3,"IL","Chicago",35,753,61,23,50,215,404,2.6,67.4285714285714,43.7142857142857
"71",1963-05-11,1963,19,3,"IL","Chicago",32,734,47,17,56,213,401,0.36,70.1428571428571,47.5714285714286
"72",1963-05-18,1963,20,3,"IL","Chicago",28,755,41,25,67,220,402,0.89,65.1428571428571,46.1428571428571
"73",1963-05-25,1963,21,3,"IL","Chicago",17,742,43,19,47,235,398,0.18,63.5714285714286,41.2857142857143
"74",1963-06-01,1963,22,3,"IL","Chicago",26,658,36,17,53,209,343,0.21,72.7142857142857,48.2857142857143
"75",1963-06-08,1963,23,3,"IL","Chicago",29,777,58,17,73,236,393,0.61,88.4285714285714,64
"76",1963-06-15,1963,24,3,"IL","Chicago",25,786,39,27,52,214,454,0.48,76.2857142857143,52.7142857142857
"77",1963-06-22,1963,25,3,"IL","Chicago",22,655,24,18,56,206,351,0.56,75.4285714285714,48.1428571428571
"78",1963-06-29,1963,26,3,"IL","Chicago",28,672,36,23,53,211,349,0.65,86.7142857142857,57
"79",1963-07-06,1963,27,3,"IL","Chicago",28,718,36,24,57,225,376,0,83.5714285714286,57.5714285714286
"80",1963-07-13,1963,28,3,"IL","Chicago",22,748,59,18,71,215,385,1.98,78.7142857142857,55.1428571428571
"81",1963-07-20,1963,29,3,"IL","Chicago",26,676,46,28,41,193,368,1.79,84.4285714285714,65.7142857142857
"82",1963-07-27,1963,30,3,"IL","Chicago",28,692,38,26,62,227,339,0.08,85.7142857142857,64.2857142857143
"83",1963-08-03,1963,31,3,"IL","Chicago",30,680,48,30,56,195,351,2.04,85.2857142857143,64.2857142857143
"84",1963-08-10,1963,32,3,"IL","Chicago",27,665,38,26,72,186,343,0.07,80,60.2857142857143
"85",1963-08-17,1963,33,3,"IL","Chicago",29,645,48,21,65,196,315,0.24,76.8571428571429,53
"86",1963-08-24,1963,34,3,"IL","Chicago",31,619,35,26,43,178,337,0.3,79.5714285714286,57.7142857142857
"87",1963-08-31,1963,35,3,"IL","Chicago",36,672,37,21,57,189,368,0.32,79.2857142857143,55.5714285714286
"88",1963-09-07,1963,36,3,"IL","Chicago",33,657,49,21,54,219,314,1.38,76,54.1428571428571
"89",1963-09-14,1963,37,3,"IL","Chicago",30,700,42,18,61,210,369,0.46,75.8571428571429,52.7142857142857
"90",1963-09-21,1963,38,3,"IL","Chicago",30,757,45,30,44,237,401,0.43,81.2857142857143,54.1428571428571
"91",1963-09-28,1963,39,3,"IL","Chicago",23,710,40,23,45,214,388,0.61,78.4285714285714,49.5714285714286
"92",1963-10-05,1963,40,3,"IL","Chicago",35,750,49,18,61,239,383,0,76.8571428571429,47
"93",1963-10-12,1963,41,3,"IL","Chicago",35,755,48,20,53,232,402,0,78.1428571428571,46.8571428571429
"94",1963-10-19,1963,42,3,"IL","Chicago",27,685,47,22,59,211,346,0.06,76.5714285714286,45.7142857142857
"95",1963-10-26,1963,43,3,"IL","Chicago",40,701,45,23,58,230,345,0.09,78.1428571428571,53.1428571428571
"96",1963-11-02,1963,44,3,"IL","Chicago",32,716,49,23,53,224,367,0.13,55.5714285714286,31.1428571428571
"97",1963-11-09,1963,45,3,"IL","Chicago",32,734,50,18,57,214,395,0.03,57,35.4285714285714
"98",1963-11-16,1963,46,3,"IL","Chicago",36,758,46,29,79,225,379,0.17,50.2857142857143,31
"99",1963-11-23,1963,47,3,"IL","Chicago",33,818,49,18,61,246,444,1.8,56.4285714285714,37.5714285714286
"100",1963-11-30,1963,48,3,"IL","Chicago",37,681,35,22,42,212,370,0,45.4285714285714,24.8571428571429
"101",1963-12-07,1963,49,3,"IL","Chicago",30,783,44,29,48,240,422,0.09,35.5714285714286,14.8571428571429
"102",1963-12-14,1963,50,3,"IL","Chicago",50,844,67,32,74,235,436,0.44,25.8571428571429,12.2857142857143
"103",1963-12-21,1963,51,3,"IL","Chicago",44,809,45,28,48,242,446,0.19,10.1428571428571,-10.1428571428571
"104",1963-12-28,1963,52,3,"IL","Chicago",50,859,54,20,50,273,462,0.01,26.1428571428571,2.85714285714286
"105",1964-01-04,1964,1,3,"IL","Chicago",55,882,44,34,62,282,460,0,24.7142857142857,4.42857142857143
"106",1964-01-11,1964,2,3,"IL","Chicago",49,876,68,33,80,268,427,0.07,33,15.2857142857143
"107",1964-01-18,1964,3,3,"IL","Chicago",43,750,43,19,53,235,400,0.03,31.8571428571429,15.5714285714286
"108",1964-01-25,1964,4,3,"IL","Chicago",33,783,49,20,38,269,407,0.6,47.1428571428571,30.7142857142857
"109",1964-02-01,1964,5,3,"IL","Chicago",36,731,41,18,65,208,399,0.02,35.7142857142857,16.7142857142857
"110",1964-02-08,1964,6,3,"IL","Chicago",32,739,57,20,48,224,390,0.01,40.7142857142857,20.7142857142857
"111",1964-02-15,1964,7,3,"IL","Chicago",41,766,40,19,46,247,414,0.45,34.4285714285714,13.8571428571429
"112",1964-02-22,1964,8,3,"IL","Chicago",25,753,46,22,56,224,405,0.04,33.7142857142857,16.4285714285714
"113",1964-02-29,1964,9,3,"IL","Chicago",41,735,61,29,44,212,389,0.02,35.4285714285714,15.2857142857143
"114",1964-03-07,1964,10,3,"IL","Chicago",44,800,57,29,52,255,407,0.77,47.8571428571429,30.7142857142857
"115",1964-03-14,1964,11,3,"IL","Chicago",34,755,45,27,64,235,384,0.59,46.2857142857143,28.8571428571429
"116",1964-03-21,1964,12,3,"IL","Chicago",38,701,51,20,47,212,371,0.32,43.4285714285714,22.2857142857143
"117",1964-03-28,1964,13,3,"IL","Chicago",30,677,37,23,58,210,349,1.49,39.1428571428571,21.7142857142857
"118",1964-04-04,1964,14,3,"IL","Chicago",45,849,47,27,63,239,473,1.2,38,20.5714285714286
"119",1964-04-11,1964,15,3,"IL","Chicago",39,755,45,20,66,224,400,1.6,58.4285714285714,34.8571428571429
"120",1964-04-18,1964,16,3,"IL","Chicago",35,680,41,29,54,212,344,0.38,67.2857142857143,45.7142857142857
"121",1964-04-25,1964,17,3,"IL","Chicago",46,716,34,17,56,226,383,1.09,56.1428571428571,40.2857142857143
"122",1964-05-02,1964,18,3,"IL","Chicago",38,724,48,21,68,204,383,1.41,62.1428571428571,48.5714285714286
"123",1964-05-09,1964,19,3,"IL","Chicago",38,719,36,24,59,229,371,1.12,79.4285714285714,59.1428571428571
"124",1964-05-16,1964,20,3,"IL","Chicago",34,733,43,23,62,221,384,0.81,71.2857142857143,45.4285714285714
"125",1964-05-23,1964,21,3,"IL","Chicago",27,699,36,24,46,220,373,0,81.5714285714286,52.7142857142857
"126",1964-05-30,1964,22,3,"IL","Chicago",29,742,39,22,55,250,376,0.15,70.5714285714286,45.4285714285714
"127",1964-06-06,1964,23,3,"IL","Chicago",23,633,33,16,63,196,325,0.07,71.4285714285714,44.5714285714286
"128",1964-06-13,1964,24,3,"IL","Chicago",35,744,52,20,63,210,399,0.04,83.5714285714286,57.4285714285714
"129",1964-06-20,1964,25,3,"IL","Chicago",25,728,39,18,74,229,368,1.55,79.2857142857143,58.4285714285714
"130",1964-06-27,1964,26,3,"IL","Chicago",29,766,34,26,48,222,436,1.2,86.1428571428571,61.8571428571429
"131",1964-07-04,1964,27,3,"IL","Chicago",25,651,42,15,47,192,355,0,86.5714285714286,61.2857142857143
"132",1964-07-11,1964,28,3,"IL","Chicago",40,943,38,43,69,268,525,0.98,78.5714285714286,57.2857142857143
"133",1964-07-18,1964,29,3,"IL","Chicago",25,688,65,20,52,227,324,2.64,80.7142857142857,59.2857142857143
"134",1964-07-25,1964,30,3,"IL","Chicago",34,747,63,21,53,206,404,0.33,90.5714285714286,67.1428571428571
"135",1964-08-01,1964,31,3,"IL","Chicago",31,778,40,27,61,213,437,0.28,84,61
"136",1964-08-08,1964,32,3,"IL","Chicago",29,716,46,23,60,226,361,0,87.8571428571429,62.5714285714286
"137",1964-08-15,1964,33,3,"IL","Chicago",30,697,60,22,63,207,345,0.31,74.8571428571429,48.5714285714286
"138",1964-08-22,1964,34,3,"IL","Chicago",31,656,36,24,58,197,341,1.5,82.1428571428571,54.7142857142857
"139",1964-08-29,1964,35,3,"IL","Chicago",28,702,48,22,65,216,351,0,77.4285714285714,50.4285714285714
"140",1964-09-05,1964,36,3,"IL","Chicago",27,715,54,32,46,202,381,0.14,81.1428571428571,53
"141",1964-09-12,1964,37,3,"IL","Chicago",20,726,37,33,58,226,372,0.68,82,57.4285714285714
"142",1964-09-19,1964,38,3,"IL","Chicago",24,682,42,17,75,200,348,0.36,72.5714285714286,49.8571428571429
"143",1964-09-26,1964,39,3,"IL","Chicago",24,700,50,18,51,204,377,2.91,73.8571428571429,54.5714285714286
"144",1964-10-03,1964,40,3,"IL","Chicago",23,688,45,18,57,213,355,0,68.2857142857143,38.8571428571429
"145",1964-10-10,1964,41,3,"IL","Chicago",24,718,60,17,53,207,381,0.07,55.4285714285714,30.7142857142857
"146",1964-10-17,1964,42,3,"IL","Chicago",34,729,43,17,47,221,401,0,69.2857142857143,33.7142857142857
"147",1964-10-24,1964,43,3,"IL","Chicago",33,772,47,23,72,222,408,0,54.2857142857143,28.2857142857143
"148",1964-10-31,1964,44,3,"IL","Chicago",31,754,48,25,49,233,399,0.09,65,36.5714285714286
"149",1964-11-07,1964,45,3,"IL","Chicago",17,661,36,22,54,212,337,0.27,63.5714285714286,41.1428571428571
"150",1964-11-14,1964,46,3,"IL","Chicago",35,735,55,25,60,211,384,0,67.2857142857143,42.1428571428571
"151",1964-11-21,1964,47,3,"IL","Chicago",32,767,62,23,47,240,395,1.66,40.8571428571429,25.1428571428571
"152",1964-11-28,1964,48,3,"IL","Chicago",35,719,57,12,53,213,384,0.97,46.7142857142857,20.7142857142857
"153",1964-12-05,1964,49,3,"IL","Chicago",36,799,52,25,57,277,388,0.79,26.1428571428571,15.1428571428571
"154",1964-12-12,1964,50,3,"IL","Chicago",44,854,66,27,64,249,448,0.28,32,17
"155",1964-12-19,1964,51,3,"IL","Chicago",39,782,43,27,50,235,427,0.06,29.5714285714286,10.7142857142857
"156",1964-12-26,1964,52,3,"IL","Chicago",29,688,41,18,45,219,365,0.37,36.7142857142857,18.2857142857143
"157",1965-01-02,1964,53,3,"IL","Chicago",55,805,61,24,57,250,413,1.27,36.7142857142857,23.5714285714286
"158",1965-01-09,1965,1,3,"IL","Chicago",46,904,74,26,71,261,472,0.1,43.7142857142857,25.8571428571429
"159",1965-01-16,1965,2,3,"IL","Chicago",48,826,50,34,64,259,419,0.3,24.1428571428571,5
"160",1965-01-23,1965,3,3,"IL","Chicago",42,789,66,23,54,234,412,1.62,31.4285714285714,12.7142857142857
"161",1965-01-30,1965,4,3,"IL","Chicago",50,855,53,21,70,255,456,0.71,22.1428571428571,3.85714285714286
"162",1965-02-06,1965,5,3,"IL","Chicago",34,825,53,17,57,242,456,0.19,20,1.14285714285714
"163",1965-02-13,1965,6,3,"IL","Chicago",42,714,39,20,41,198,416,0.45,42.5714285714286,24.2857142857143
"164",1965-02-20,1965,7,3,"IL","Chicago",45,951,67,30,69,277,508,0.02,39.1428571428571,21.1428571428571
"165",1965-02-27,1965,8,3,"IL","Chicago",36,788,45,28,62,220,433,0.64,26.1428571428571,9.85714285714286
"166",1965-03-06,1965,9,3,"IL","Chicago",50,911,58,22,60,253,518,0.91,42.2857142857143,28.2857142857143
"167",1965-03-13,1965,10,3,"IL","Chicago",48,823,41,25,51,260,446,0.14,34.2857142857143,23
"168",1965-03-20,1965,11,3,"IL","Chicago",43,745,49,18,54,204,420,1.18,30.8571428571429,17.4285714285714
"169",1965-03-27,1965,12,3,"IL","Chicago",40,755,44,30,47,217,417,0.8,27.5714285714286,8.71428571428571
"170",1965-04-03,1965,13,3,"IL","Chicago",38,808,64,19,58,242,425,0.17,40.4285714285714,24.8571428571429
"171",1965-04-10,1965,14,3,"IL","Chicago",31,734,42,28,52,218,394,1.24,54,36.5714285714286
"172",1965-04-17,1965,15,3,"IL","Chicago",22,568,23,26,42,162,315,0.78,55.5714285714286,39.5714285714286
"173",1965-04-24,1965,16,3,"IL","Chicago",44,835,67,28,61,220,459,0.71,58.5714285714286,40
"174",1965-05-01,1965,17,3,"IL","Chicago",33,715,60,24,67,197,367,0.61,63.2857142857143,38.7142857142857
"175",1965-05-08,1965,18,3,"IL","Chicago",30,806,42,23,59,248,434,0.74,78.1428571428571,53.8571428571429
"176",1965-05-15,1965,19,3,"IL","Chicago",28,743,54,24,53,227,385,0.21,75.5714285714286,49.8571428571429
"177",1965-05-22,1965,20,3,"IL","Chicago",23,715,50,19,61,201,384,0.42,71.7142857142857,47.2857142857143
"178",1965-05-29,1965,21,3,"IL","Chicago",25,732,47,14,68,217,386,0.99,68.1428571428571,49
"179",1965-06-05,1965,22,3,"IL","Chicago",27,746,43,29,52,223,399,1.51,74.8571428571429,51
"180",1965-06-12,1965,23,3,"IL","Chicago",33,686,52,18,59,187,370,0.97,78.8571428571429,56
"181",1965-06-19,1965,24,3,"IL","Chicago",32,675,51,19,62,207,336,0,70.4285714285714,46.2857142857143
"182",1965-06-26,1965,25,3,"IL","Chicago",21,753,58,22,54,220,399,0.87,79.7142857142857,52.7142857142857
"183",1965-07-03,1965,26,3,"IL","Chicago",33,751,56,24,61,203,407,0.14,81.2857142857143,55.7142857142857
"184",1965-07-10,1965,27,3,"IL","Chicago",33,667,34,22,59,189,363,0.94,79.8571428571429,52.7142857142857
"185",1965-07-17,1965,28,3,"IL","Chicago",29,723,61,19,59,214,370,2.06,82.7142857142857,58
"186",1965-07-24,1965,29,3,"IL","Chicago",32,708,63,20,62,207,356,0,84,61.4285714285714
"187",1965-07-31,1965,30,3,"IL","Chicago",39,828,55,22,76,240,435,0.61,81.4285714285714,56.5714285714286
"188",1965-08-07,1965,31,3,"IL","Chicago",29,704,69,16,52,220,347,0.87,79.2857142857143,58.1428571428571
"189",1965-08-14,1965,32,3,"IL","Chicago",22,668,39,20,67,206,336,2.05,80.2857142857143,60.2857142857143
"190",1965-08-21,1965,33,3,"IL","Chicago",25,746,45,11,72,222,396,1.68,80.2857142857143,62.1428571428571
"191",1965-08-28,1965,34,3,"IL","Chicago",25,680,52,15,53,218,342,1.14,77.7142857142857,54.2857142857143
"192",1965-09-04,1965,35,3,"IL","Chicago",25,688,50,34,53,198,353,1.09,71.1428571428571,51.5714285714286
"193",1965-09-11,1965,36,3,"IL","Chicago",15,646,34,21,50,205,336,0.81,73.5714285714286,57.8571428571429
"194",1965-09-18,1965,37,3,"IL","Chicago",25,672,43,18,58,205,348,1.09,74.8571428571429,57.2857142857143
"195",1965-09-25,1965,38,3,"IL","Chicago",21,737,42,18,67,235,375,2.1,72.2857142857143,55.1428571428571
"196",1965-10-02,1965,39,3,"IL","Chicago",28,691,40,22,54,204,371,0.6,67.5714285714286,47
"197",1965-10-09,1965,40,3,"IL","Chicago",29,729,36,21,67,228,377,0.19,60.7142857142857,42.2857142857143
"198",1965-10-16,1965,41,3,"IL","Chicago",35,810,54,36,64,227,429,0,68.5714285714286,45.1428571428571
"199",1965-10-23,1965,42,3,"IL","Chicago",29,720,28,26,62,232,372,1.38,67.7142857142857,50.7142857142857
"200",1965-10-30,1965,43,3,"IL","Chicago",31,738,39,16,52,240,391,0,57.4285714285714,32.4285714285714
"201",1965-11-06,1965,44,3,"IL","Chicago",27,743,45,21,68,210,399,0,63.1428571428571,38.1428571428571
"202",1965-11-13,1965,45,3,"IL","Chicago",27,695,37,19,44,203,392,0.37,51,35.8571428571429
"203",1965-11-20,1965,46,3,"IL","Chicago",45,788,49,29,51,220,439,0.06,46.1428571428571,24.4285714285714
"204",1965-11-27,1965,47,3,"IL","Chicago",43,700,48,25,46,206,375,1.04,47.5714285714286,30.7142857142857
"205",1965-12-04,1965,48,3,"IL","Chicago",35,799,51,30,78,244,396,0.02,40,26.2857142857143
"206",1965-12-11,1965,49,3,"IL","Chicago",35,778,52,25,70,229,402,0.85,47.8571428571429,28.2857142857143
"207",1965-12-18,1965,50,3,"IL","Chicago",36,796,40,30,60,233,433,0.21,38.5714285714286,28.4285714285714
"208",1965-12-25,1965,51,3,"IL","Chicago",39,805,42,31,57,241,434,2.24,41.4285714285714,28.4285714285714
"209",1966-01-01,1965,52,3,"IL","Chicago",50,774,59,21,48,247,399,0,41.1428571428571,23.5714285714286
"210",1966-01-08,1966,1,3,"IL","Chicago",40,779,47,27,73,232,400,0.05,36.2857142857143,18.1428571428571
"211",1966-01-15,1966,2,3,"IL","Chicago",40,845,47,29,70,266,433,0.87,32.8571428571429,15.5714285714286
"212",1966-01-22,1966,3,3,"IL","Chicago",53,820,54,30,52,242,442,0.07,22.2857142857143,4.14285714285714
"213",1966-01-29,1966,4,3,"IL","Chicago",35,774,52,26,53,250,393,0.1,12.2857142857143,-6.57142857142857
"214",1966-02-05,1966,5,3,"IL","Chicago",38,824,48,26,62,261,427,0.03,21.1428571428571,-0.857142857142857
"215",1966-02-12,1966,6,3,"IL","Chicago",42,895,55,21,73,254,492,1.22,47.5714285714286,29.8571428571429
"216",1966-02-19,1966,7,3,"IL","Chicago",53,781,48,35,62,221,415,0.12,31.5714285714286,14.5714285714286
"217",1966-02-26,1966,8,3,"IL","Chicago",35,829,41,19,50,266,453,0.01,31.7142857142857,13.2857142857143
"218",1966-03-05,1966,9,3,"IL","Chicago",37,768,49,26,61,210,422,1.15,46.8571428571429,29
"219",1966-03-12,1966,10,3,"IL","Chicago",33,781,52,24,70,208,427,0.39,45.4285714285714,30.8571428571429
"220",1966-03-19,1966,11,3,"IL","Chicago",39,737,40,26,62,216,393,0.29,56.8571428571429,35
"221",1966-03-26,1966,12,3,"IL","Chicago",32,794,38,35,59,225,437,1.03,48,27.2857142857143
"222",1966-04-02,1966,13,3,"IL","Chicago",41,828,52,25,77,252,422,0.21,47.1428571428571,27.7142857142857
"223",1966-04-09,1966,14,3,"IL","Chicago",33,666,42,19,54,175,376,0.39,43.2857142857143,28.7142857142857
"224",1966-04-16,1966,15,3,"IL","Chicago",40,988,55,28,66,299,540,0,54.5714285714286,30.8571428571429
"225",1966-04-23,1966,16,3,"IL","Chicago",51,878,61,36,52,245,484,3.46,64.1428571428571,41.4285714285714
"226",1966-04-30,1966,17,3,"IL","Chicago",36,772,41,28,58,224,421,2.37,61,39.1428571428571
"227",1966-05-07,1966,18,3,"IL","Chicago",25,812,54,24,48,234,452,0.26,64.2857142857143,36.5714285714286
"228",1966-05-14,1966,19,3,"IL","Chicago",27,798,47,30,51,240,430,3.24,47.5714285714286,34.4285714285714
"229",1966-05-21,1966,20,3,"IL","Chicago",39,821,38,21,54,245,463,0.35,69,48.5714285714286
"230",1966-05-28,1966,21,3,"IL","Chicago",25,752,65,21,50,199,417,0.92,77.7142857142857,50.1428571428571
"231",1966-06-04,1966,22,3,"IL","Chicago",27,716,30,21,57,214,394,0.08,72.4285714285714,45.1428571428571
"232",1966-06-11,1966,23,3,"IL","Chicago",35,767,52,32,56,217,410,1.18,74.2857142857143,52.7142857142857
"233",1966-06-18,1966,24,3,"IL","Chicago",25,687,43,19,52,190,383,1.65,75.8571428571429,54.4285714285714
"234",1966-06-25,1966,25,3,"IL","Chicago",24,766,27,26,67,244,402,0,86.5714285714286,63.2857142857143
"235",1966-07-02,1966,26,3,"IL","Chicago",38,874,48,27,50,257,492,0.04,87.8571428571429,62.5714285714286
"236",1966-07-09,1966,27,3,"IL","Chicago",36,855,37,33,58,248,479,0.26,88.2857142857143,65
"237",1966-07-16,1966,28,3,"IL","Chicago",22,822,38,31,63,240,450,0.62,87,66.1428571428571
