"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00116616","PARK FOREST, IL US","1962-04-01","0.00","45","29"
"USC00116616","PARK FOREST, IL US","1962-04-02","0.00","40","25"
"USC00116616","PARK FOREST, IL US","1962-04-03","0.00","47","24"
"USC00116616","PARK FOREST, IL US","1962-04-04","0.04","49","36"
"USC00116616","PARK FOREST, IL US","1962-04-05","0.35","51","37"
"USC00116616","PARK FOREST, IL US","1962-04-06","0.00","57","36"
"USC00116616","PARK FOREST, IL US","1962-04-07","0.00","53","38"
"USC00116616","PARK FOREST, IL US","1962-04-08","0.23","64","35"
"USC00116616","PARK FOREST, IL US","1962-04-09","0.00","52","35"
"USC00116616","PARK FOREST, IL US","1962-04-10","0.00","50","35"
"USC00116616","PARK FOREST, IL US","1962-04-11","0.00","50","34"
"USC00116616","PARK FOREST, IL US","1962-04-12","0.39","51","36"
"USC00116616","PARK FOREST, IL US","1962-04-13","0.00","45","30"
"USC00116616","PARK FOREST, IL US","1962-04-14","0.00","48","28"
"USC00116616","PARK FOREST, IL US","1962-04-15","0.00","41","26"
"USC00116616","PARK FOREST, IL US","1962-04-16","0.00","46","24"
"USC00116616","PARK FOREST, IL US","1962-04-17","0.00","57","33"
"USC00116616","PARK FOREST, IL US","1962-04-18","0.00","62","37"
"USC00116616","PARK FOREST, IL US","1962-04-19","0.00","50","35"
"USC00116616","PARK FOREST, IL US","1962-04-20","0.00","60","31"
"USC00116616","PARK FOREST, IL US","1962-04-21","0.04","78","43"
"USC00116616","PARK FOREST, IL US","1962-04-22","0.00","71","50"
"USC00116616","PARK FOREST, IL US","1962-04-23","0.00","61","40"
"USC00116616","PARK FOREST, IL US","1962-04-24","0.00","77","41"
"USC00116616","PARK FOREST, IL US","1962-04-25","0.00","84","50"
"USC00116616","PARK FOREST, IL US","1962-04-26","0.00","86","54"
"USC00116616","PARK FOREST, IL US","1962-04-27","0.00","84","62"
"USC00116616","PARK FOREST, IL US","1962-04-28","0.11","69","42"
"USC00116616","PARK FOREST, IL US","1962-04-29","0.05","74","43"
"USC00116616","PARK FOREST, IL US","1962-04-30","0.30","86","59"
"USC00116616","PARK FOREST, IL US","1962-05-01","0.23","63","47"
"USC00116616","PARK FOREST, IL US","1962-05-02","0.00","63","49"
"USC00116616","PARK FOREST, IL US","1962-05-03","0.00","77","46"
"USC00116616","PARK FOREST, IL US","1962-05-04","0.00","82","52"
"USC00116616","PARK FOREST, IL US","1962-05-05","0.00","80","52"
"USC00116616","PARK FOREST, IL US","1962-05-06","0.11","69","50"
"USC00116616","PARK FOREST, IL US","1962-05-07","0.81","65","41"
"USC00116616","PARK FOREST, IL US","1962-05-08","0.71","69","42"
"USC00116616","PARK FOREST, IL US","1962-05-09","0.00","55","40"
"USC00116616","PARK FOREST, IL US","1962-05-10","0.39","56","39"
"USC00116616","PARK FOREST, IL US","1962-05-11","0.00","64","45"
"USC00116616","PARK FOREST, IL US","1962-05-12","0.68","75","48"
"USC00116616","PARK FOREST, IL US","1962-05-13","0.00","84","62"
"USC00116616","PARK FOREST, IL US","1962-05-14","0.00","88","63"
"USC00116616","PARK FOREST, IL US","1962-05-15","0.00","88","69"
"USC00116616","PARK FOREST, IL US","1962-05-16","0.00","90","68"
"USC00116616","PARK FOREST, IL US","1962-05-17","0.00","91","69"
"USC00116616","PARK FOREST, IL US","1962-05-18","0.00","90","65"
"USC00116616","PARK FOREST, IL US","1962-05-19","0.00","89","67"
"USC00116616","PARK FOREST, IL US","1962-05-20","0.00","86","64"
"USC00116616","PARK FOREST, IL US","1962-05-21","0.23","67","51"
"USC00116616","PARK FOREST, IL US","1962-05-22","0.00",,
"USC00116616","PARK FOREST, IL US","1962-05-23","0.00","81","67"
"USC00116616","PARK FOREST, IL US","1962-05-24","0.00","77","55"
"USC00116616","PARK FOREST, IL US","1962-05-25","0.00","79","55"
"USC00116616","PARK FOREST, IL US","1962-05-26","0.28","64","52"
"USC00116616","PARK FOREST, IL US","1962-05-27","0.27","60","52"
"USC00116616","PARK FOREST, IL US","1962-05-28","0.00","75","54"
"USC00116616","PARK FOREST, IL US","1962-05-29","0.05","88","68"
"USC00116616","PARK FOREST, IL US","1962-05-30","0.00","88","67"
"USC00116616","PARK FOREST, IL US","1962-05-31","0.00","86","62"
