"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"1","1962-01",2.91,39.2559523809524,22.5654761904762,30.9107142857143,88,1903
"2","1962-02",2.24,35.7142857142858,21.1071428571429,28.4107142857143,63,2232
"3","1962-03",5.22,49.2857142857143,31.0571428571428,40.1714285714286,110,2812
"4","1962-04",3.55,61.5357142857143,40.3571428571429,50.9464285714286,74,2255
"5","1962-05",1.97,74.6428571428571,52.2142857142857,63.4285714285714,55,1800
"6","1962-06",7.42,80.7428571428571,61.6571428571429,71.2,61,2499
"7","1962-07",1.73,82.75,61.5714285714286,72.1607142857143,56,2043
"8","1962-08",4.98,81.2142857142857,62.1071428571429,71.6607142857143,43,1744
"9","1962-09",4.94,74.4571428571429,55.3142857142857,64.8857142857143,55,2178
"10","1962-10",0.82,68.3571428571429,46.5357142857143,57.4464285714286,48,1845
"11","1962-11",4.73,52.1428571428572,33.1071428571429,42.625,46,1777
"12","1962-12",2.11,41.8,26.3142857142857,34.0571428571429,57,2354
"13","1963-01",1.87,36.4642857142857,19.8571428571429,28.1607142857143,69,2219
"14","1963-02",2.41,34.25,16.6785714285714,25.4642857142857,105,2412
"15","1963-03",4.16,48.8857142857143,30.6,39.7428571428571,225,3430
"16","1963-04",0.38,64.1785714285714,40.2857142857143,52.2321428571428,57,2045
"17","1963-05",1.38,71.6428571428572,46.5357142857143,59.0892857142857,46,1830
"18","1963-06",3.31,80.5428571428571,57.0571428571429,68.8,61,2199
"19","1963-07",2.92,87.5,63.5714285714286,75.5357142857143,66,1957
"20","1963-08",3.56,82.7142857142857,61.5428571428571,72.1285714285714,83,2660
"21","1963-09",4.57,73.0714285714286,53,63.0357142857143,52,1880
"22","1963-10",1.96,71.6785714285714,44.3214285714286,58,49,1809
"23","1963-11",6.67,57.7142857142857,39.7714285714286,48.7428571428571,70,2340
"24","1963-12",1.76,35.8214285714286,21.9642857142857,28.8928571428571,53,1910
"25","1964-01",3.92,40.8214285714285,22.0357142857143,31.4285714285714,73,2113
"26","1964-02",2.83,40,23.9142857142857,31.9571428571429,75,2722
"27","1964-03",1.94,54,32.6428571428572,43.3214285714286,57,2026
"28","1964-04",3.67,58.1785714285714,40.5357142857143,49.3571428571429,74,2293
"29","1964-05",2.07,73.7428571428571,52.0857142857143,62.9142857142857,59,2290
"30","1964-06",0.21,83.2142857142857,60,71.6071428571428,46,1623
"31","1964-07",3.79,86.6428571428572,66.75,76.6964285714286,45,2193
"32","1964-08",0.33,82.9714285714286,61.8571428571429,72.4142857142857,53,2355
"33","1964-09",0.33,80.6428571428571,58.0357142857143,69.3392857142857,44,1786
"34","1964-10",4.02,64.1714285714286,42.3142857142857,53.2428571428572,46,2531
"35","1964-11",1.6,59.75,35.3571428571428,47.5535714285714,63,1918
"36","1964-12",3.62,44.2142857142857,29.7142857142857,36.9642857142857,57,1961
"37","1965-01",3.9,38.0285714285715,24.2857142857143,31.1571428571429,79,2743
"38","1965-02",2.18,41.3214285714286,23.8214285714286,32.5714285714286,81,2104
"39","1965-03",2.72,46,29.1785714285714,37.5892857142857,90,2153
"40","1965-04",2.45,55.5357142857143,37.6071428571428,46.5714285714286,66,2063
"41","1965-05",1.58,74.1142857142857,53.4285714285714,63.7714285714286,54,2427
"42","1965-06",2.59,79.2142857142857,58.1071428571429,68.6607142857143,42,1876
"43","1965-07",3.48,83.7428571428572,64.2857142857143,74.0142857142857,47,2539
"44","1965-08",4.05,84.0357142857143,65.1428571428572,74.5892857142857,51,1747
"45","1965-09",3.02,79.4642857142857,60.7857142857143,70.125,33,1890
"46","1965-10",2.02,64.4,44.2,54.3,68,2282
"47","1965-11",1.05,54.4285714285714,36.6428571428572,45.5357142857143,57,1913
"48","1965-12",1.85,45.4285714285714,29,37.2142857142857,41,2051
"49","1966-01",2.38,38.6,22.8285714285714,30.7142857142857,66,2565
"50","1966-02",4.09,37.3928571428572,22.3214285714285,29.8571428571429,68,2189
"51","1966-03",1.33,52.7142857142857,33.4285714285714,43.0714285714286,86,2541
"52","1966-04",4.35,55.3142857142857,37.4,46.3571428571428,78,2544
"53","1966-05",2.93,69.9285714285714,48.5714285714286,59.25,50,2030
"54","1966-06",0.43,81.1071428571428,58,69.5535714285714,42,2004
"55","1966-07",2.35,90.2857142857143,66.3142857142857,78.3,78,2785
"56","1966-08",1.63,85.2857142857143,63.0714285714286,74.1785714285714,45,1795
"57","1966-09",7.86,79.6785714285714,58.1071428571429,68.8928571428572,34,1632
"58","1966-10",5.96,65.2285714285714,43.7142857142857,54.4714285714286,55,2265
"59","1966-11",1.28,56.6428571428572,37.25,46.9464285714286,53,2006
"60","1966-12",5.41,43.3428571428571,29.1142857142857,36.2285714285714,62,2369
"61","1967-01",1.65,44.75,28.5357142857143,36.6428571428572,60,2110
"62","1967-02",1.8,36.9285714285714,21.1071428571429,29.0178571428571,55,2114
"63","1967-03",4.29,44,27.8571428571429,35.9285714285714,79,2202
"64","1967-04",2.45,61.3428571428571,39.9714285714286,50.6571428571428,72,2761
"65","1967-05",3.16,65.0714285714286,45.4285714285714,55.25,43,1910
"66","1967-06",3.94,81.8214285714286,59.3571428571429,70.5892857142857,64,1882
"67","1967-07",6.73,84.6857142857143,66.4857142857143,75.5857142857143,45,2194
"68","1967-08",6.56,83.2857142857143,67.5714285714286,75.4285714285714,32,1663
"69","1967-09",4.37,78.1714285714286,57.9142857142857,68.0428571428571,61,2138
"70","1967-10",2,68.1428571428572,47.5357142857143,57.8392857142857,42,1802
"71","1967-11",1.58,52.75,35.4642857142857,44.1071428571428,40,1931
"72","1967-12",6.02,46.0571428571429,31.2571428571429,38.6571428571429,61,2581
"73","1968-01",3.07,34.5,19.5,27,46,2001
"74","1968-02",0.84,39.75,23.25,31.5,16,1885
"75","1968-03",5.64,52.2285714285714,32.5714285714286,42.4,56,2653
"76","1968-04",1.45,66.2857142857143,43.4285714285714,54.8571428571428,50,2160
"77","1968-05",2.94,68.75,48.4285714285714,58.5892857142857,41,2178
"78","1968-06",8.24,78.8571428571428,59.3142857142857,69.0857142857143,55,2528
"79","1968-07",2,86.8928571428571,68.5,77.6964285714286,45,1910
"80","1968-08",1.24,87.3714285714286,67.2571428571429,77.3142857142857,62,2395
"81","1968-09",0.44,81.7857142857143,58.3214285714286,70.0535714285714,38,1752
"82","1968-10",3.13,70.6428571428572,50.2857142857143,60.4642857142857,22,1724
"83","1968-11",4.19,52.9428571428571,38.1428571428571,45.5428571428572,23,2210
"84","1968-12",2.4,40,24.6071428571429,32.3035714285714,48,1999
"85","1969-01",1.44,37.1071428571429,23.6071428571429,30.3571428571428,96,2988
"86","1969-02",1.62,36.6071428571428,24.1785714285715,30.3928571428571,30,1995
"87","1969-03",2.42,47.1714285714286,31.1714285714286,39.1714285714286,36,2718
"88","1969-04",1.64,63.0357142857143,42.4285714285714,52.7321428571428,28,1913
"89","1969-05",3.37,74.9714285714286,53.8857142857143,64.4285714285714,40,2295
"90","1969-06",7.31,82.4642857142857,63.6071428571429,73.0357142857143,35,1990
"91","1969-07",3.61,82.8571428571428,67,74.9285714285714,26,1602
"92","1969-08",7.38,84.2571428571428,66.5428571428572,75.4,28,2384
"93","1969-09",4.31,77.7857142857143,59.25,68.5178571428572,23,1706
"94","1969-10",1.2,67.6071428571428,46.2142857142857,56.9107142857143,22,1873
"95","1969-11",1.95,54,36.4857142857143,45.2428571428571,39,2398
"96","1969-12",6.01,39.8928571428572,27.6071428571428,33.75,25,1897
"97","1970-01",1.98,31.9142857142857,18.9142857142857,25.4142857142857,44,2847
"98","1970-02",2.08,40.75,25.25,33,42,2265
"99","1970-03",2.47,45.7142857142857,31.4285714285714,38.5714285714286,33,1525
"100","1970-04",7.48,56.7857142857143,38.5357142857143,47.6607142857143,26,2011
"101","1970-05",2.57,75.2857142857143,54.0285714285714,64.6571428571429,35,2392
"102","1970-06",4.6,80.4285714285714,62.5,71.4642857142857,23,1887
"103","1970-07",1.62,84.5,66.7142857142857,75.6071428571428,23,1699
"104","1970-08",5.03,86.0571428571429,68.7428571428571,77.4,34,2386
"105","1970-09",0.67,84.1785714285714,64.2142857142857,74.1964285714286,13,1499
"106","1970-10",3.9,68.4571428571429,51.1428571428571,59.8,24,1858
"107","1970-11",4.46,55.6071428571428,40.6071428571429,48.1071428571428,14,1428
"108","1970-12",3.46,44.8214285714286,31.8571428571429,38.3392857142857,25,1895
"109","1971-01",2.19,34.4571428571428,21.1428571428571,27.8,23,2602
"110","1971-02",5.43,42,27.8571428571429,34.9285714285714,32,2381
"111","1971-03",2.58,48.25,33.4642857142857,40.8571428571429,33,2281
"112","1971-04",1.56,61.6071428571429,39.2857142857143,50.4464285714286,27,1483
"113","1971-05",4.12,67.4571428571429,50.6571428571429,59.0571428571429,29,2179
"114","1971-06",1.27,81.5714285714286,64.2142857142857,72.8928571428572,19,2004
"115","1971-07",4.84,86.7428571428572,68.2857142857143,77.5142857142857,22,1886
"116","1971-08",9.61,84.8571428571428,66.3928571428572,75.625,23,1797
"117","1971-09",5.74,80.1428571428572,65,72.5714285714286,17,1517
"118","1971-10",3.75,71,56.6571428571428,63.8285714285714,20,2014
"119","1971-11",3.87,54.8571428571429,39.1785714285714,47.0178571428572,22,2104
"120","1971-12",2.81,48.1785714285714,34.1071428571428,41.1428571428572,35,2109
"121","1972-01",2.42,45.1142857142857,29.2857142857143,37.2,42,2935
"122","1972-02",5.09,38,23.5357142857143,30.7678571428572,32,1720
"123","1972-03",2.69,49.4642857142857,32.3571428571429,40.9107142857143,36,1827
"124","1972-04",4.08,57.7142857142857,38.3142857142857,48.0142857142857,30,2196
"125","1972-05",4.09,72.1785714285714,53.3571428571429,62.7678571428572,27,1977
"126","1972-06",5.08,77.4642857142857,59.5357142857143,68.5,18,1591
"127","1972-07",3.31,84.3142857142857,67.4857142857143,75.9,20,2290
"128","1972-08",2.56,85,65.7857142857143,75.3928571428572,29,1792
"129","1972-09",2.36,78.7428571428571,61.9714285714286,70.3571428571428,23,2303
"130","1972-10",3.77,62.4285714285714,43.7857142857143,53.1071428571429,26,1486
"131","1972-11",7.85,51.2857142857143,37.25,44.2678571428572,20,1992
"132","1972-12",6.29,45.7714285714286,33.8857142857143,39.8285714285714,24,2332
"133","1973-01",2.56,43.9642857142857,27.1785714285714,35.5714285714286,38,1803
"134","1973-02",4.45,41.0714285714286,25.0357142857143,33.0535714285714,56,2393
"135","1973-03",3.52,54.0857142857143,37.3714285714286,45.7285714285714,41,2900
"136","1973-04",6.68,62.4642857142858,44.25,53.3571428571428,18,1618
"137","1973-05",2.47,67.2857142857143,49.8214285714286,58.5535714285714,31,2018
"138","1973-06",9.55,81.7428571428571,65.2285714285714,73.4857142857143,14,1892
"139","1973-07",2.39,86.6071428571429,68.8214285714286,77.7142857142857,30,2178
"140","1973-08",2.03,85.7857142857143,69.1071428571429,77.4464285714286,20,2103
"141","1973-09",3.39,83.3142857142857,63.3714285714286,73.3428571428571,35,2086
"142","1973-10",0.64,71.0357142857143,49.6785714285714,60.3571428571428,23,1709
"143","1973-11",1.82,56.5714285714286,38.2857142857143,47.4285714285714,28,1480
"144","1973-12",6.29,48.9142857142857,33.3428571428571,41.1285714285714,28,2311
"145","1974-01",3.12,39.9285714285714,27.3571428571429,33.6428571428572,29,2306
"146","1974-02",1.67,43.2142857142857,25.9642857142857,34.5892857142857,31,1493
"147","1974-03",5.33,51.1142857142857,32.4285714285714,41.7714285714286,41,2621
"148","1974-04",3.04,64.7142857142857,42.4642857142857,53.5892857142857,22,1706
"149","1974-05",3.16,74.1785714285714,52.3214285714286,63.25,26,1792
"150","1974-06",4.36,77.8571428571428,59.9714285714286,68.9142857142857,28,1992
"151","1974-07",1.66,86.8571428571429,66.7142857142857,76.7857142857143,19,1789
"152","1974-08",4.37,86,67.5142857142857,76.7571428571428,27,1893
"153","1974-09",4.68,77.1428571428572,59.3214285714286,68.2321428571429,16,1702
"154","1974-10",1.93,65.5,43.5357142857143,54.5178571428572,25,1597
"155","1974-11",0.81,59.6,40.8285714285714,50.2142857142857,24,1995
"156","1974-12",3.73,46.9642857142857,31.8928571428571,39.4285714285714,26,1488
"157","1975-01",4.15,44.5357142857143,29.1785714285714,36.8571428571428,23,1807
